warlock	witch
impairment	damage
bunt	hit
engagement	employment
pie	pastry
agent	businessperson
friendship	relationship
lure	attraction
astrophysicist	astronomer
teaser	worker
guitarist	musician
rabbinate	priesthood
cubeb	cigarette
tincture	medicine
raft	float
shearwater	petrel
hypocrisy	insincerity
saver	owner
firestone	flint
greenery	leaf
slaveholder	holder
kink	idea
wind	talk
lotion	remedy
folly	trait
concubine	mistress
wall	difficulty
colt	male
indri	lemur
swashbuckling	demeanor
demodulation	reception
tailgater	driver
lamina	plate
hemostasis	stop
patristics	writing
flambeau	torch
acceleration	speed
hopelessness	despair
jack	ball
television	broadcasting
oracle	prophecy
runway	chute
bent	endowment
beginning	point
manner	property
screwdriver	cocktail
trapezoid	quadrilateral
ordination	appointment
east	direction
infielder	fielder
vegan	vegetarian
lenience	tolerance
coon	rustic
anticlimax	fall
vogue	taste
radioisotope	isotope
fingerprinting	procedure
repressor	agent
amortization	decrease
coxsackievirus	enterovirus
formalization	systematization
advantage	benefit
mining	defense
schism	division
acrobat	athlete
strap	whip
curb	bit
cast	solid
maranta	herb
malevolence	hate
aftermath	consequence
beverage	liquid
organism	system
mother-of-pearl	shell
face	appearance
sweepstakes	lottery
epigenesis	metamorphism
oilcloth	fabric
poinsettia	spurge
ratite	bird
meningioma	tumor
almond	drupe
band	adornment
birth	change
navigation	transportation
opposition	direction
archaeopteryx	bird
conventionality	unoriginality
spasm	symptom
dish	container
neutering	sterilization
martinet	authoritarian
mask	disguise
doublespeak	evasion
schoolbag	bag
donna	woman
cementite	compound
advisability	wisdom
municipality	gathering
end	ending
totara	conifer
authorization	management
understanding	knowing
susceptibility	condition
prettiness	beauty
playpen	enclosure
shaver	razor
cup	trophy
conflict	ambivalence
stroke	locomotion
gypsum	mineral
waterline	line
helix	curve
copyist	employee
designation	determination
lubrication	application
aliyah	immigration
confluence	blend
precipitation	acceleration
pyrrhotite	mineral
sleepwalking	walk
pretzel	cracker
tomahawk	weapon
liberty	freedom
realization	understanding
strike	score
amethyst	quartz
backseat	inferiority
deletion	removal
stoup	basin
lunch	meal
infinitesimal	variable
dipole	antenna
cage	enclosure
sensitizing	immunization
lemon	artifact
electrolyte	solution
daze	confusion
bathhouse	building
recurrence	repeat
binnacle	housing
impact	consequence
salmagundi	salad
toxoplasmosis	infection
gaff	spar
purism	insistence
standdown	stop
flagpole	staff
effacement	withdrawal
wintergreen	berry
